fight_id,fight_title,winning_fighter_name,losing_fighter_name,weight_class,method_of_victory,specific_victory_details,ending_round,ending_time,fight_url,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,guard_passes,reversals,control_time,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted
1507,"UFC 215: Nunes vs Shevchenko 2","Jeremy Stephens","Gilbert Melendez",Featherweight,U-DEC,NULL,3,5:00,94c7e64ce88c9b9e,588,1507,140,1,"Gilbert Melendez",0,13,51,0,0,0,0,0,0:00,588,1507,140,1,"Gilbert Melendez",11,46,0,1,1,3,12,48,0,0,0,2
1507,"UFC 215: Nunes vs Shevchenko 2","Jeremy Stephens","Gilbert Melendez",Featherweight,U-DEC,NULL,3,5:00,94c7e64ce88c9b9e,589,1507,140,2,"Jeremy Stephens",2,26,92,0,0,0,0,0,0:18,589,1507,140,2,"Jeremy Stephens",10,74,1,2,14,15,23,89,2,2,0,0
1507,"UFC 215: Nunes vs Shevchenko 2","Jeremy Stephens","Gilbert Melendez",Featherweight,U-DEC,NULL,3,5:00,94c7e64ce88c9b9e,590,1507,140,2,"Gilbert Melendez",0,11,52,0,0,0,0,0,0:00,590,1507,140,2,"Gilbert Melendez",10,49,1,3,0,0,10,50,1,1,0,1
1507,"UFC 215: Nunes vs Shevchenko 2","Jeremy Stephens","Gilbert Melendez",Featherweight,U-DEC,NULL,3,5:00,94c7e64ce88c9b9e,591,1507,140,3,"Jeremy Stephens",2,51,101,0,0,0,1,0,0:32,591,1507,140,3,"Jeremy Stephens",32,80,8,10,7,7,38,87,1,2,8,8
1507,"UFC 215: Nunes vs Shevchenko 2","Jeremy Stephens","Gilbert Melendez",Featherweight,U-DEC,NULL,3,5:00,94c7e64ce88c9b9e,592,1507,140,3,"Gilbert Melendez",0,6,27,0,0,0,0,0,0:00,592,1507,140,3,"Gilbert Melendez",6,27,0,0,0,0,5,26,1,1,0,0
2501,"UFC 239: Jones vs. Santos","Arnold Allen","Gilbert Melendez",Featherweight,U-DEC,NULL,3,5:00,c48af5eafb532d0a,609,2501,234,1,"Gilbert Melendez",0,10,42,0,1,0,0,0,0:00,609,2501,234,1,"Gilbert Melendez",7,38,0,1,1,1,7,39,1,1,0,0
2501,"UFC 239: Jones vs. Santos","Arnold Allen","Gilbert Melendez",Featherweight,U-DEC,NULL,3,5:00,c48af5eafb532d0a,610,2501,234,1,"Arnold Allen",0,37,75,0,0,0,0,0,0:14,610,2501,234,1,"Arnold Allen",22,57,11,12,4,6,37,75,0,0,0,0
2501,"UFC 239: Jones vs. Santos","Arnold Allen","Gilbert Melendez",Featherweight,U-DEC,NULL,3,5:00,c48af5eafb532d0a,611,2501,234,2,"Gilbert Melendez",0,9,39,0,0,0,0,0,0:00,611,2501,234,2,"Gilbert Melendez",6,36,2,2,1,1,9,38,0,1,0,0
2501,"UFC 239: Jones vs. Santos","Arnold Allen","Gilbert Melendez",Featherweight,U-DEC,NULL,3,5:00,c48af5eafb532d0a,612,2501,234,2,"Arnold Allen",0,39,66,0,0,0,0,0,0:00,612,2501,234,2,"Arnold Allen",27,52,10,11,2,3,39,66,0,0,0,0
2501,"UFC 239: Jones vs. Santos","Arnold Allen","Gilbert Melendez",Featherweight,U-DEC,NULL,3,5:00,c48af5eafb532d0a,613,2501,234,3,"Gilbert Melendez",0,8,36,0,1,0,0,0,0:00,613,2501,234,3,"Gilbert Melendez",6,30,0,4,0,0,6,34,0,0,0,0
